Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Mon Dec 21 2015,7:30p,Orlando Magic,107,New York Knicks,99,Box Score,,19812,Madison Square Garden (IV),
Mon Dec 21 2015,8:00p,Portland Trail Blazers,97,Atlanta Hawks,106,Box Score,,18373,Philips Arena,
Mon Dec 21 2015,8:00p,Brooklyn Nets,105,Chicago Bulls,102,Box Score,,21825,United Center,
Mon Dec 21 2015,8:00p,Charlotte Hornets,95,Houston Rockets,102,Box Score,,18236,Toyota Center,
Mon Dec 21 2015,8:30p,Indiana Pacers,92,San Antonio Spurs,106,Box Score,,18418,AT&T Center,
Mon Dec 21 2015,9:00p,Phoenix Suns,89,Utah Jazz,110,Box Score,,19911,Vivint Smart Home Arena,
Mon Dec 21 2015,10:30p,Oklahoma City Thunder,100,Los Angeles Clippers,99,Box Score,,19415,STAPLES Center,
Tue Dec 22 2015,7:00p,Memphis Grizzlies,104,Philadelphia 76ers,90,Box Score,,15552,Wells Fargo Center,
Tue Dec 22 2015,7:30p,Detroit Pistons,93,Miami Heat,92,Box Score,,19901,AmericanAirlines Arena,
Tue Dec 22 2015,7:30p,Dallas Mavericks,99,Toronto Raptors,103,Box Score,,19800,Air Canada Centre,
Tue Dec 22 2015,9:00p,Los Angeles Lakers,111,Denver Nuggets,107,Box Score,,19124,Pepsi Center,
Wed Dec 23 2015,7:00p,Boston Celtics,102,Charlotte Hornets,89,Box Score,,19082,Time Warner Cable Arena,
Wed Dec 23 2015,7:00p,New York Knicks,84,Cleveland Cavaliers,91,Box Score,,20562,Quicken Loans Arena,
Wed Dec 23 2015,7:00p,Sacramento Kings,108,Indiana Pacers,106,Box Score,,18165,Bankers Life Fieldhouse,
Wed Dec 23 2015,7:00p,Houston Rockets,101,Orlando Magic,104,Box Score,,17061,Amway Center,
Wed Dec 23 2015,7:00p,Memphis Grizzlies,91,Washington Wizards,100,Box Score,,15879,Verizon Center,
Wed Dec 23 2015,7:30p,Dallas Mavericks,119,Brooklyn Nets,118,Box Score,OT,15994,Barclays Center,
Wed Dec 23 2015,8:00p,Detroit Pistons,100,Atlanta Hawks,107,Box Score,,17575,Philips Arena,
Wed Dec 23 2015,8:00p,Philadelphia 76ers,100,Milwaukee Bucks,113,Box Score,,15754,BMO Harris Bradley Center,
Wed Dec 23 2015,8:00p,San Antonio Spurs,108,Minnesota Timberwolves,83,Box Score,,16788,Target Center,
Wed Dec 23 2015,8:00p,Portland Trail Blazers,89,New Orleans Pelicans,115,Box Score,,16686,Smoothie King Center,
Wed Dec 23 2015,9:00p,Denver Nuggets,104,Phoenix Suns,96,Box Score,,17034,Talking Stick Resort Arena,
Wed Dec 23 2015,10:30p,Utah Jazz,85,Golden State Warriors,103,Box Score,,19596,Oracle Arena,
Wed Dec 23 2015,10:30p,Oklahoma City Thunder,120,Los Angeles Lakers,85,Box Score,,18997,STAPLES Center,
Fri Dec 25 2015,12:00p,New Orleans Pelicans,88,Miami Heat,94,Box Score,OT,19845,AmericanAirlines Arena,
Fri Dec 25 2015,2:30p,Chicago Bulls,105,Oklahoma City Thunder,96,Box Score,,18203,Chesapeake Energy Arena,
Fri Dec 25 2015,5:00p,Cleveland Cavaliers,83,Golden State Warriors,89,Box Score,,19596,Oracle Arena,
Fri Dec 25 2015,8:00p,San Antonio Spurs,84,Houston Rockets,88,Box Score,,18319,Toyota Center,
Fri Dec 25 2015,10:30p,Los Angeles Clippers,94,Los Angeles Lakers,84,Box Score,,18997,STAPLES Center,
Sat Dec 26 2015,4:00p,Washington Wizards,111,Brooklyn Nets,96,Box Score,,17732,Barclays Center,
Sat Dec 26 2015,5:00p,Toronto Raptors,111,Milwaukee Bucks,90,Box Score,,16329,BMO Harris Bradley Center,
Sat Dec 26 2015,7:00p,Memphis Grizzlies,92,Charlotte Hornets,98,Box Score,,19091,Time Warner Cable Arena,
Sat Dec 26 2015,7:00p,Houston Rockets,108,New Orleans Pelicans,110,Box Score,,18248,Smoothie King Center,
Sat Dec 26 2015,7:00p,Miami Heat,108,Orlando Magic,101,Box Score,,18846,Amway Center,
Sat Dec 26 2015,7:30p,New York Knicks,98,Atlanta Hawks,117,Box Score,,19015,Philips Arena,
Sat Dec 26 2015,7:30p,Boston Celtics,99,Detroit Pistons,93,Box Score,,18288,The Palace of Auburn Hills,
Sat Dec 26 2015,8:00p,Indiana Pacers,102,Minnesota Timberwolves,88,Box Score,,15076,Target Center,
Sat Dec 26 2015,8:30p,Chicago Bulls,111,Dallas Mavericks,118,Box Score,,20392,American Airlines Center,
Sat Dec 26 2015,8:30p,Denver Nuggets,86,San Antonio Spurs,101,Box Score,,18420,AT&T Center,
Sat Dec 26 2015,9:00p,Philadelphia 76ers,111,Phoenix Suns,104,Box Score,,17548,Talking Stick Resort Arena,
Sat Dec 26 2015,9:00p,Los Angeles Clippers,109,Utah Jazz,104,Box Score,,19911,Vivint Smart Home Arena,
Sat Dec 26 2015,10:00p,Cleveland Cavaliers,76,Portland Trail Blazers,105,Box Score,,19393,Moda Center,
Sun Dec 27 2015,6:00p,Los Angeles Lakers,96,Memphis Grizzlies,112,Box Score,,18119,FedEx Forum,
Sun Dec 27 2015,7:00p,New York Knicks,91,Boston Celtics,100,Box Score,,18624,TD Garden,
Sun Dec 27 2015,7:00p,Denver Nuggets,112,Oklahoma City Thunder,122,Box Score,,18203,Chesapeake Energy Arena,
Sun Dec 27 2015,9:00p,Portland Trail Blazers,98,Sacramento Kings,94,Box Score,,17317,Sleep Train Arena,
Mon Dec 28 2015,7:00p,Los Angeles Lakers,98,Charlotte Hornets,108,Box Score,,19632,Time Warner Cable Arena,
Mon Dec 28 2015,7:00p,Atlanta Hawks,87,Indiana Pacers,93,Box Score,,18165,Bankers Life Fieldhouse,
Mon Dec 28 2015,7:00p,New Orleans Pelicans,89,Orlando Magic,104,Box Score,,17606,Amway Center,
Mon Dec 28 2015,7:00p,Los Angeles Clippers,108,Washington Wizards,91,Box Score,,20356,Verizon Center,
Mon Dec 28 2015,7:30p,Brooklyn Nets,111,Miami Heat,105,Box Score,,19975,AmericanAirlines Arena,
Mon Dec 28 2015,8:00p,Toronto Raptors,97,Chicago Bulls,104,Box Score,,21898,United Center,
Mon Dec 28 2015,8:30p,Milwaukee Bucks,93,Dallas Mavericks,103,Box Score,,20300,American Airlines Center,
Mon Dec 28 2015,8:30p,Minnesota Timberwolves,95,San Antonio Spurs,101,Box Score,,18493,AT&T Center,
