Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Nov 20 2015,8:00p,New York Knicks,93,Oklahoma City Thunder,90,Box Score,,18203,Chesapeake Energy Arena,
Fri Nov 20 2015,8:30p,Utah Jazz,93,Dallas Mavericks,102,Box Score,,20028,American Airlines Center,
Fri Nov 20 2015,9:00p,Phoenix Suns,114,Denver Nuggets,107,Box Score,,12264,Pepsi Center,
Fri Nov 20 2015,10:00p,Los Angeles Clippers,91,Portland Trail Blazers,102,Box Score,,19393,Moda Center,
Fri Nov 20 2015,10:30p,Chicago Bulls,94,Golden State Warriors,106,Box Score,,19596,Oracle Arena,
Fri Nov 20 2015,10:30p,Toronto Raptors,102,Los Angeles Lakers,91,Box Score,,18997,STAPLES Center,
Sat Nov 21 2015,5:00p,Sacramento Kings,97,Orlando Magic,91,Box Score,,16104,Amway Center,
Sat Nov 21 2015,7:00p,Milwaukee Bucks,86,Indiana Pacers,123,Box Score,,17137,Bankers Life Fieldhouse,
Sat Nov 21 2015,7:30p,Atlanta Hawks,97,Cleveland Cavaliers,109,Box Score,,20562,Quicken Loans Arena,
Sat Nov 21 2015,7:30p,Washington Wizards,97,Detroit Pistons,95,Box Score,,15890,The Palace of Auburn Hills,
Sat Nov 21 2015,8:00p,New York Knicks,107,Houston Rockets,102,Box Score,,18226,Toyota Center,
Sat Nov 21 2015,8:00p,Philadelphia 76ers,91,Miami Heat,96,Box Score,,19673,AmericanAirlines Arena,
Sat Nov 21 2015,8:30p,Memphis Grizzlies,82,San Antonio Spurs,92,Box Score,,18418,AT&T Center,
Sun Nov 22 2015,3:30p,Toronto Raptors,91,Los Angeles Clippers,80,Box Score,,19060,STAPLES Center,
Sun Nov 22 2015,6:00p,Boston Celtics,101,Brooklyn Nets,111,Box Score,,14866,Barclays Center,
Sun Nov 22 2015,6:00p,Phoenix Suns,116,New Orleans Pelicans,122,Box Score,,16680,Smoothie King Center,
Sun Nov 22 2015,7:00p,Dallas Mavericks,114,Oklahoma City Thunder,117,Box Score,,18203,Chesapeake Energy Arena,
Sun Nov 22 2015,8:00p,Golden State Warriors,118,Denver Nuggets,105,Box Score,,17689,Pepsi Center,
Sun Nov 22 2015,9:30p,Portland Trail Blazers,107,Los Angeles Lakers,93,Box Score,,18997,STAPLES Center,
Mon Nov 23 2015,7:00p,Sacramento Kings,122,Charlotte Hornets,127,Box Score,OT,14163,Time Warner Cable Arena,
Mon Nov 23 2015,7:00p,Orlando Magic,103,Cleveland Cavaliers,117,Box Score,,20562,Quicken Loans Arena,
Mon Nov 23 2015,7:30p,New York Knicks,78,Miami Heat,95,Box Score,,19777,AmericanAirlines Arena,
Mon Nov 23 2015,8:00p,Detroit Pistons,88,Milwaukee Bucks,109,Box Score,,12319,BMO Harris Bradley Center,
Mon Nov 23 2015,8:00p,Philadelphia 76ers,95,Minnesota Timberwolves,100,Box Score,,11382,Target Center,
Mon Nov 23 2015,8:30p,Phoenix Suns,84,San Antonio Spurs,98,Box Score,,18418,AT&T Center,
Mon Nov 23 2015,9:00p,Oklahoma City Thunder,111,Utah Jazz,89,Box Score,,19911,Vivint Smart Home Arena,
Tue Nov 24 2015,7:00p,Indiana Pacers,123,Washington Wizards,106,Box Score,,15486,Verizon Center,
Tue Nov 24 2015,8:00p,Boston Celtics,97,Atlanta Hawks,121,Box Score,,18968,Philips Arena,
Tue Nov 24 2015,8:00p,Dallas Mavericks,96,Memphis Grizzlies,110,Box Score,,17381,FedEx Forum,
Tue Nov 24 2015,9:00p,Los Angeles Clippers,111,Denver Nuggets,94,Box Score,,13257,Pepsi Center,
Tue Nov 24 2015,10:00p,Chicago Bulls,93,Portland Trail Blazers,88,Box Score,,19393,Moda Center,
Tue Nov 24 2015,10:30p,Los Angeles Lakers,77,Golden State Warriors,111,Box Score,,19596,Oracle Arena,
Wed Nov 25 2015,7:00p,Washington Wizards,87,Charlotte Hornets,101,Box Score,,17064,Time Warner Cable Arena,
Wed Nov 25 2015,7:00p,New York Knicks,91,Orlando Magic,100,Box Score,,18846,Amway Center,
Wed Nov 25 2015,7:30p,Philadelphia 76ers,80,Boston Celtics,84,Box Score,,17588,TD Garden,
Wed Nov 25 2015,7:30p,Miami Heat,81,Detroit Pistons,104,Box Score,,15119,The Palace of Auburn Hills,
Wed Nov 25 2015,7:30p,Cleveland Cavaliers,99,Toronto Raptors,103,Box Score,,20140,Air Canada Centre,
Wed Nov 25 2015,8:00p,Memphis Grizzlies,102,Houston Rockets,93,Box Score,,18143,Toyota Center,
Wed Nov 25 2015,8:00p,Sacramento Kings,129,Milwaukee Bucks,118,Box Score,,14120,BMO Harris Bradley Center,
Wed Nov 25 2015,8:00p,Atlanta Hawks,95,Minnesota Timberwolves,99,Box Score,,14289,Target Center,
